年份,综合成绩,本段人数,累计人数
2025,269.8,19,10845
2025,269.7,23,10868
2025,269.6,22,10890
2025,269.5,21,10911
2025,269.4,22,10933
2025,269.3,25,10958
2025,269.2,18,10976
2025,269.1,17,10993
2025,269.0,22,11015
2025,268.9,13,11028
2025,268.8,17,11045
2025,268.7,15,11060
2025,268.6,19,11079
2025,268.5,19,11098
2025,268.4,15,11113
2025,268.3,16,11129
2025,268.2,18,11147
2025,268.1,9,11156
2025,268.0,21,11177
2025,267.9,26,11203
2025,267.8,19,11222
2025,267.7,12,11234
2025,267.6,22,11256
2025,267.5,18,11274
2025,267.4,18,11292
2025,267.3,25,11317
2025,267.2,27,11344
2025,267.1,14,11358
2025,267.0,18,11376
2025,266.9,16,11392
2025,266.8,26,11418
2025,266.7,16,11434
2025,266.6,12,11446
2025,266.5,19,11465
2025,266.4,18,11483
2025,266.3,22,11505
2025,266.2,10,11515
2025,266.1,23,11538
2025,266.0,18,11556
2025,265.9,15,11571
2025,265.8,19,11590
2025,265.7,14,11604
2025,265.6,16,11620
2025,265.5,15,11635
2025,265.4,17,11652
2025,265.3,12,11664
2025,265.2,19,11683
2025,265.1,17,11700
2025,265.0,19,11719
2025,264.9,13,11732
2025,264.8,13,11745
2025,264.7,11,11756
2025,264.6,15,11771
2025,264.5,22,11793
2025,264.4,13,11806
2025,264.3,15,11821
2025,264.2,10,11831
2025,264.1,13,11844
2025,264.0,14,11858
2025,263.9,11,11869
2025,263.8,17,11886
2025,263.7,18,11904
2025,263.6,22,11926
2025,263.5,11,11937
2025,263.4,10,11947
2025,263.3,15,11962
2025,263.2,15,11977
2025,263.1,16,11993
2025,263.0,13,12006
2025,262.9,7,12013
2025,262.8,10,12023
2025,262.7,11,12034
2025,262.6,12,12046
2025,262.5,16,12062
2025,262.4,6,12068
2025,262.3,4,12072
2025,262.2,12,12084
2025,262.1,15,12099
2025,262.0,12,12111
2025,261.9,13,12124
2025,261.8,16,12140
2025,261.7,10,12150
2025,261.6,6,12156
2025,261.5,8,12164
2025,261.4,7,12171
2025,261.3,14,12185
2025,261.2,11,12196
2025,261.1,12,12208
2025,261.0,15,12223
2025,260.9,7,12230
2025,260.8,11,12241
2025,260.7,10,12251
2025,260.6,9,12260
2025,260.5,6,12266
2025,260.4,12,12278
2025,260.3,11,12289
2025,260.2,7,12296
2025,260.1,7,12303
2025,260.0,6,12309
2025,259.9,9,12318
2025,259.8,7,12325
2025,259.7,6,12331
2025,259.6,15,12346
2025,259.5,5,12351
2025,259.4,10,12361
2025,259.3,3,12364
2025,259.2,8,12372
2025,259.1,6,12378
2025,259.0,5,12383
2025,258.9,7,12390
2025,258.8,2,12392
2025,258.7,12,12404
2025,258.6,10,12414
2025,258.5,2,12416
2025,258.4,13,12429
2025,258.3,12,12441
2025,258.2,8,12449
2025,258.1,9,12458
2025,258.0,7,12465
2025,257.9,4,12469
2025,257.8,10,12479
2025,257.7,6,12485
2025,257.6,5,12490
2025,257.5,12,12502
2025,257.4,5,12507
2025,257.3,9,12516
2025,257.2,1,12517
2025,257.1,11,12528
2025,257.0,3,12531
2025,256.9,2,12533
2025,256.8,7,12540
2025,256.7,7,12547
2025,256.6,3,12550
